country_of_bean_origin,cocoa_percent,rating_category,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,first_taste,second_taste,third_taste,fourth_taste,number_of_taste
Blend,72.0,1,3.25,3,1,0,0,0,1,coffee,high roast,spicy,no taste,3
Ecuador,70.0,0,3.0,2,0,0,0,0,1,smokey,sour,no taste,no taste,2
Philippines,70.0,1,3.5,2,0,0,0,0,0,base cocoa w/ palm notes,no taste,no taste,no taste,1
Taiwan,70.0,1,3.25,2,0,0,0,0,0,molasses,sour notes,no taste,no taste,2
Bolivia,70.0,1,3.75,4,1,0,1,0,1,subtle but refreshing,no taste,no taste,no taste,1
Guatemala,70.0,1,3.5,4,1,0,1,0,1,vegetal,unique,no taste,no taste,2
Guatemala,70.0,0,3.0,4,1,0,1,0,1,off pungent,grassy,melon,no taste,3
Puerto rico,70.0,0,2.5,2,0,0,0,0,1,dirt,floral,sweet,no taste,3
Dominican republic,75.0,0,2.75,2,0,0,0,0,1,creamy,burnt wood,no taste,no taste,2
Dominican republic,75.0,0,2.5,2,0,0,0,0,1,oily,buttery,intense,no taste,3
Venezuela,75.0,0,2.25,2,0,0,0,0,1,over roasted,bitter,nutty,no taste,3
Peru,75.0,0,2.5,2,0,0,0,0,1,roasty,almost burnt,intense,no taste,3
Mexico,66.0,0,3.0,5,1,1,1,0,1,creamy,woody,cocoa,no taste,3
Venezuela,72.0,0,2.0,5,1,1,1,0,1,sandy,dairy,cocoa,no taste,3
Tanzania,75.0,0,2.0,5,1,1,1,0,1,dry,flat flavor,astringent,no taste,3
Dominican republic,70.0,0,3.0,5,1,1,1,0,1,spice,fruit medley,roasty,no taste,3
Haiti,65.0,1,3.5,5,1,1,1,0,1,gritty,sweet,citrus,no taste,3
Colombia,72.0,1,3.75,2,0,0,0,0,1,light color,creamy,hazelnut,no taste,3
Colombia,72.0,0,3.0,2,0,0,0,0,1,light color,dirty,astringent,no taste,3
Colombia,72.0,0,2.5,2,0,0,0,0,1,light color,dirty,musty,no taste,3
Venezuela,70.0,1,3.75,2,0,0,0,0,1,fruity,nutty,brownie,no taste,3
Venezuela,75.0,1,3.5,2,0,0,0,0,1,bright fruit,strawberry,no taste,no taste,2
Venezuela,74.0,1,3.25,2,0,0,0,0,1,nutty,intense,leathery,no taste,3
Venezuela,75.0,0,2.5,2,0,0,0,0,1,intense,earthy,fuel,no taste,3
Venezuela,77.0,1,3.5,2,0,0,0,0,1,assertive,fruity,acidic,no taste,3
Venezuela,74.0,1,3.25,2,0,0,0,0,1,intense,black licorice,nutty,no taste,3
Venezuela,75.0,1,3.25,2,0,0,0,0,1,spicy,nutty,ends sour,no taste,3
Venezuela,75.0,0,2.75,2,0,0,0,0,1,sandy,chalky,earthy,no taste,3
Venezuela,70.0,0,3.0,2,0,0,0,0,1,raspberry,dirty,sour,no taste,3
Venezuela,75.0,0,2.5,2,0,0,0,0,1,high astringent,sandy,grass,no taste,3
Colombia,64.0,1,3.5,4,1,0,1,0,1,intense,marshmallow,fruit,no taste,3
Colombia,70.0,1,3.5,4,1,0,1,0,1,earthy,woody,smoke,no taste,3
Colombia,70.0,1,3.25,4,1,0,1,0,1,intense,spice,no taste,no taste,2
Colombia,69.0,0,2.75,4,1,0,1,0,1,green,vegetal,soil,fuel,4
Colombia,72.0,1,3.75,3,1,0,0,0,1,rich,nutty,acidic,no taste,3
Colombia,71.0,1,3.75,3,1,0,0,0,1,distinct,short,dried fruit,no taste,3
Colombia,74.0,1,3.75,3,1,0,0,0,1,mild cocoa,astringent,no taste,no taste,2
Honduras,70.0,1,3.5,4,1,0,1,0,1,deep cocoa,fatty,dairy,no taste,3
Dominican republic,66.0,1,3.75,2,0,0,0,0,1,creamy,blueberry,black pepper,no taste,3
Dominican republic,65.0,1,3.25,2,0,0,0,0,1,rustic,gritty,sweet,fruit,4
Dominican republic,72.0,0,3.0,2,0,0,0,0,1,rustic,sweet,one dimensional,no taste,3
Dominican republic,72.0,1,3.75,2,0,0,0,0,1,oily,cherry,rich cocoa,no taste,3
Mexico,70.0,1,4.0,4,1,0,1,0,1,distinct lemon,no taste,no taste,no taste,1
Mexico,70.0,1,4.0,4,1,0,1,0,1,creamy,nutty,banana,rich,4
Papua new guinea,71.0,1,4.0,4,1,0,1,0,1,creamy,mild spice,cocoa,no taste,3
Ecuador,71.0,1,3.75,4,1,0,1,0,1,creamy,mild spice,hazelnut,no taste,3
Madagascar,71.0,1,3.5,4,1,0,1,0,1,creamy,earthy,dark roast,no taste,3
Venezuela,71.0,1,3.5,4,1,0,1,0,1,gritty,fudge-like,nutty,no taste,3
Venezuela,77.0,1,3.5,4,1,0,1,0,1,intense,roasty,rich cocoa,no taste,3
Grenada,71.0,1,3.25,4,1,0,1,0,1,silky,Andes mint,off nutty,no taste,3
Congo,70.0,1,3.5,4,1,0,1,0,1,rich,cherries,acidic,no taste,3
Vietnam,70.0,1,3.5,2,0,0,0,0,1,balanced,dairy,spicy,no taste,3
Peru,70.0,1,3.25,2,0,0,0,0,1,dried fruit,sour,nutella,no taste,3
Madagascar,70.0,0,3.0,2,0,0,0,0,1,sour milk,off,late tart,no taste,3
Peru,70.0,0,3.0,2,0,0,0,0,1,ripe grapes,very acidic,no taste,no taste,2
Peru,70.0,1,3.25,2,0,0,0,0,1,gritty,molasses,no taste,no taste,2
Ecuador,71.0,1,3.5,4,1,0,1,0,1,dry,spicy,fruity,no taste,3
Trinidad,70.0,0,2.5,2,0,0,0,0,1,burnt coffee,fatty,no taste,no taste,2
Sao tome,78.0,0,2.25,2,0,0,0,0,1,burnt up front,no taste,no taste,no taste,1
Venezuela,80.0,0,3.0,2,0,0,0,0,1,nutty,ashey,coffee,no taste,3
Blend,70.0,1,3.5,2,0,0,0,0,1,oily surface,berry,cream,no taste,3
Dominican republic,72.0,0,3.0,2,0,0,0,0,1,intense,fatty,brownie,no taste,3
Cuba,75.0,0,2.5,2,0,0,0,0,1,intense,ashey,earthen,no taste,3
Brazil,70.0,1,3.25,3,1,0,0,0,1,dairy,chocolate,mild fruit,no taste,3
Venezuela,70.0,0,3.0,3,1,0,0,0,1,strong nutty with off notes,no taste,no taste,no taste,1
Bolivia,75.0,0,3.0,3,1,0,0,0,1,sandy,bold,cherry,no taste,3
Tanzania,73.0,0,2.75,3,1,0,0,0,1,sweet,acidic,fatty,no taste,3
Venezuela,75.0,0,2.5,3,1,0,0,0,1,nutty,burnt,fuel,no taste,3
Ecuador,77.0,0,2.75,4,1,0,1,0,1,crumbly,cinamon,no taste,no taste,2
Ecuador,77.0,0,2.5,4,1,0,1,0,1,perfume,chemical off note,no taste,no taste,2
Ecuador,77.0,0,2.0,4,1,0,1,0,1,grainy,intense,bitter,no taste,3
Papua new guinea,70.0,1,3.75,3,1,0,0,0,1,tart,malt,mild smoke,no taste,3
Papua new guinea,70.0,1,3.5,3,1,0,0,0,1,mild smoke,melon,no taste,no taste,2
Costa rica,72.0,0,3.0,2,0,0,0,0,1,fatty,woody,coffee,no taste,3
Costa rica,80.0,0,2.75,2,0,0,0,0,1,fatty,fruit,muted,no taste,3
Guatemala,72.0,1,3.5,3,1,0,0,0,1,woody,spicy,tobacco,no taste,3
Costa rica,72.0,1,3.5,2,0,0,0,0,1,acidic,astringent,spicy,no taste,3
Costa rica,72.0,1,3.25,2,0,0,0,0,1,floral,earthy,acidic,no taste,3
Colombia,65.0,1,3.5,3,1,0,0,0,1,overly sweet,mild spice,no taste,no taste,2
Colombia,65.0,1,3.5,3,1,0,0,0,1,sweet,grassy,nutty,no taste,3
Colombia,65.0,1,3.25,3,1,0,0,0,1,nutty,grain,late choco,no taste,3
Colombia,65.0,1,3.25,3,1,0,0,0,1,mild smoke,sweet edge,no taste,no taste,2
Colombia,65.0,0,3.0,3,1,0,0,0,1,sweet,marshmallow,no taste,no taste,2
Blend,75.0,0,2.0,2,0,0,0,0,1,off notes,vanilla,no taste,no taste,2
Brazil,65.0,1,3.25,2,0,0,0,0,1,molasses,rich,vegetal,no taste,3
Brazil,71.0,0,3.0,2,0,0,0,0,1,sandy,intense,sweet,rich,4
Dominican republic,73.0,1,3.5,2,0,0,0,0,1,sandy,mild intensity,fruit,no taste,3
Venezuela,70.0,1,3.25,3,1,0,0,0,1,sandy,nutty,cocoa,no taste,3
Nicaragua,72.0,1,3.25,3,1,0,0,0,1,sandy,molasses,spice,no taste,3
Bolivia,70.0,0,3.0,3,1,0,0,0,1,sandy,tobacco,molasses,no taste,3
Venezuela,72.0,0,3.0,3,1,0,0,0,1,mild metallic and spice,no taste,no taste,no taste,1
Peru,70.0,0,2.75,3,1,0,0,0,1,molasses,cocoa,no taste,no taste,2
Peru,70.0,0,2.5,3,1,0,0,0,1,sandy,fruity,acidic,metallic,4
Colombia,72.0,1,3.5,3,1,0,0,0,1,caramel,molasses,fruit,no taste,3
Colombia,76.0,1,3.5,3,1,0,0,0,1,caramel,sweet,delicate,no taste,3
Dominican republic,70.0,0,2.75,3,1,0,0,0,1,soapy,earthy,no taste,no taste,2
Dominican republic,70.0,1,3.75,3,1,0,0,0,1,med roast,grassy,dried fruit,no taste,3
Honduras,72.0,1,3.5,3,1,0,0,0,1,roasty,black pepper,nutty,no taste,3
Venezuela,72.0,1,3.5,3,1,0,0,0,1,nutty,floral,roasty,no taste,3
Belize,72.0,1,4.0,3,1,0,0,0,1,bright fruit,molasses,nutty,no taste,3
Venezuela,70.0,1,3.25,2,0,0,0,0,1,nutty,roasty,caramel,no taste,3
Mexico,70.0,1,3.75,3,1,0,0,0,1,smooth,caramel,dried fruit,no taste,3
Puerto rico,70.0,1,3.5,3,1,0,0,0,1,smooth,mellow,floral,no taste,3
Bolivia,70.0,0,3.0,3,1,0,0,0,1,creamy,woody,slight cherry,no taste,3
Peru,70.0,0,2.75,3,1,0,0,0,1,mild fruit,off notes,no taste,no taste,2
Venezuela,70.0,0,2.75,3,1,0,0,0,1,nutty,roasty,smokey,no taste,3
Ecuador,70.0,0,2.5,3,1,0,0,0,1,burnt rubber,leather,no taste,no taste,2
Uganda,70.0,0,2.75,3,1,0,0,0,1,sandy,roasty,coffee,no taste,3
Bolivia,74.0,0,3.0,2,0,0,0,0,1,dark roast,rich cocoa,no taste,no taste,2
Venezuela,68.0,1,3.5,3,1,0,0,0,1,butter,roasty,cocoa,nutty,4
Belize,70.0,1,3.25,3,1,0,0,0,1,slightly metallic,woody,berry,no taste,3
Ecuador,75.0,0,3.0,3,1,0,0,0,1,dry,sandy,cocoa,no taste,3
Costa rica,70.0,1,3.5,3,1,0,0,0,1,green,leafy,no taste,no taste,2
Peru,72.0,0,3.0,3,1,0,0,0,1,spicy,chocolatey,atypical,no taste,3
Ecuador,72.0,1,3.5,3,1,0,0,0,1,sl. chalky,floral,pure,no taste,3
Ecuador,70.0,1,3.25,3,1,0,0,0,1,floral,earthy,no taste,no taste,2
Belize,75.0,0,3.0,2,0,0,0,0,1,bland,mild choco & leather,no taste,no taste,2
Malaysia,70.0,1,3.5,2,0,0,0,0,1,high roast,banana raspberry,no taste,no taste,2
Vietnam,70.0,0,2.75,2,0,0,0,0,1,roasty,sour milk,off note,no taste,3
Dominican republic,71.0,1,3.25,3,1,0,0,0,1,chunky,spicy,rubbery,no taste,3
Nicaragua,72.0,0,2.5,3,1,0,0,0,1,grassy,rubbery,no taste,no taste,2
Peru,65.0,0,2.75,2,0,0,0,0,1,flat,floral,medicinal,no taste,3
Peru,65.0,0,2.5,2,0,0,0,0,1,flat,metallic,floral,no taste,3
Dominican republic,80.0,0,2.5,2,0,0,0,0,1,spicy,earthy off notes,no taste,no taste,2
Madagascar,74.0,0,3.0,2,0,0,0,0,1,sugar dominates,molasses,no taste,no taste,2
Madagascar,70.0,1,3.75,2,0,0,0,0,1,mild,fruity then nutty,no taste,no taste,2
Venezuela,68.0,1,3.75,2,0,0,0,0,1,mild,earthy,grassy,no taste,3
Blend,80.0,0,2.5,2,0,0,0,0,0,sticky,coconut,sour,bitter,4
Ecuador,70.0,1,3.25,2,0,0,0,0,1,molasses,tart,floral,no taste,3
Dominican republic,75.0,0,3.0,2,0,0,0,0,1,sandy,rich,roasty,earthy,4
Venezuela,80.0,0,3.0,2,0,0,0,0,1,gritty,nutty,caramel,no taste,3
Uganda,70.0,0,2.75,2,0,0,0,0,1,roasty,cocoa,molasses,no taste,3
Nicaragua,80.0,0,2.75,2,0,0,0,0,1,nutty,roasty,bitter,no taste,3
Bolivia,70.0,0,2.5,2,0,0,0,0,1,gritty,molasses,earthy,no taste,3
Peru,74.0,0,2.75,3,1,0,0,0,0,unrefined,odd,vegetal,no taste,3
Peru,80.0,1,3.75,3,1,0,0,0,1,nuts,coffee,peanut butter,no taste,3
Congo,68.0,1,3.5,3,1,0,0,0,1,bold,rich cocoa,coffee,no taste,3
Dominican republic,75.0,1,3.25,3,1,0,0,0,1,earthy,coffee,mild,tang,4
Madagascar,72.0,1,3.25,3,1,0,0,0,1,tart,bright fruit,sour coffee,no taste,3
Peru,68.0,0,2.75,3,1,0,0,0,1,sandy,sweet,cocoa,no taste,3
Peru,70.0,1,3.75,2,0,0,0,0,1,intense orange,floral notes,no taste,no taste,2
Peru,69.0,1,3.75,3,1,0,0,0,1,floral,orange,cocoa,no taste,3
Venezuela,80.0,1,3.75,2,0,0,0,0,1,mild bitter,fruit,spice,no taste,3
India,70.0,0,3.0,3,1,0,0,0,1,nutty,honey,grassy,no taste,3
Mexico,70.0,0,2.5,4,1,1,0,0,1,fatty,vanilla,mass market,no taste,3
Guatemala,76.0,0,2.75,2,0,0,0,0,1,high astringent,fruit,roasty,no taste,3
Peru,70.0,0,2.75,2,0,0,0,0,1,sandy,sweet,no taste,no taste,2
Blend,70.0,0,3.0,4,1,0,1,0,1,sweet,marshmallow,no taste,no taste,2
Ecuador,71.0,0,2.5,4,1,0,1,0,1,earthy,floral,mild bitter,no taste,3
Grenada,71.0,0,2.5,4,1,0,1,0,1,sweet,cardboard,no taste,no taste,2
Venezuela,71.0,1,3.5,4,1,0,1,0,1,long lasting,cocoa base,no taste,no taste,2
Blend,75.0,1,3.25,4,1,0,1,0,1,oily,grassy,minty,no taste,3
Madagascar,71.0,1,3.5,4,1,0,1,0,1,spicey,cocoa,no taste,no taste,2
Mexico,71.0,1,3.25,4,1,0,1,0,1,earthy,sweet,no taste,no taste,2
Mexico,65.0,0,2.5,2,0,0,0,0,1,coarse,sweet,sour,leathery,4
Mexico,75.0,0,2.5,2,0,0,0,0,1,gritty,mild bitter,off notes,no taste,3
Brazil,70.0,0,3.0,4,1,1,0,0,1,oily,muted,fruity,no taste,3
Brazil,80.0,0,3.0,4,1,1,0,0,1,roasty,tart,slight burnt,no taste,3
Venezuela,70.0,0,3.0,4,1,1,0,0,1,slow,fatty,subdued,nutty,4
Mexico,70.0,0,2.75,4,1,1,0,0,1,fatty,cigarette butt,coffee,no taste,3
Venezuela,80.0,0,2.5,4,1,1,0,0,1,dry,ashey,medicinal,no taste,3
Mexico,75.0,1,3.25,3,1,0,0,0,1,grainy,sweet,whole bean,no taste,3
Peru,70.0,0,2.75,2,0,0,0,0,1,sweet,sandy,spicy,no taste,3
Peru,75.0,1,3.75,3,1,0,0,0,1,bold,spice,hit of anise,no taste,3
Brazil,70.0,1,4.0,3,1,0,0,0,1,creamy,dried fruit,nutty,no taste,3
Dominican republic,72.0,1,3.75,3,1,0,0,0,1,smooth,spicy,cocoa,no taste,3
Ecuador,73.0,1,3.5,3,1,0,0,0,1,rich cocoa,floral,acidic,no taste,3
Tanzania,72.0,1,3.5,3,1,0,0,0,1,basic cocoa,mild fruit,sweet,no taste,3
Costa rica,70.0,1,3.25,3,1,0,0,0,1,cocoa,woody,basic,no taste,3
Vietnam,72.0,0,3.0,3,1,0,0,0,1,roasty,hammy,nutty,no taste,3
Venezuela,77.0,0,2.75,3,1,0,0,0,1,red berry,bitter,roasty,sour,4
Blend,75.0,1,3.75,3,1,0,0,0,1,dry,sandy,cocoa,coffee,4
Blend,80.0,0,3.0,3,1,0,0,0,1,bitter,light lime,sour,no taste,3
Blend,73.5,1,3.75,2,0,0,0,0,1,short,mild cocoa,mild fruit,no taste,3
Ecuador,73.0,1,3.5,2,0,0,0,0,1,creamy,floral,bourbon,no taste,3
Peru,70.0,1,3.5,3,1,0,0,0,1,balanced,anise,creamy,no taste,3
St. lucia,70.0,0,2.25,4,1,1,0,0,1,raw,dirty,metallic,dry,4
Madagascar,75.0,0,3.0,4,1,1,0,0,1,berry,spices,smoke,no taste,3
Ecuador,76.0,1,3.5,2,0,0,0,0,1,bold,roasty,sticky,brownie,4
Vietnam,78.0,0,2.75,2,0,0,0,0,1,woody,nutty,off sour note,no taste,3
Madagascar,72.0,0,3.0,3,1,0,0,0,1,creamy,woodsy,cocoa,no taste,3
Mexico,72.0,0,3.0,3,1,0,0,0,1,intense,tangy,berry,sour,4
Venezuela,72.0,0,3.0,3,1,0,0,0,1,lemon,sour,slight metallic,no taste,3
Venezuela,70.0,1,3.75,3,1,0,0,0,1,dark berry,winey,no taste,no taste,2
Venezuela,70.0,1,3.5,3,1,0,0,0,1,slow,less intense berry,nutty,no taste,3
Peru,72.0,0,3.0,3,1,0,0,0,1,creamy,buttery,non descript,no taste,3
Grenada,72.0,1,3.25,3,1,0,0,0,1,coffee and cocoa,no taste,no taste,no taste,1
Jamaica,72.0,1,3.25,3,1,0,0,0,1,oily,fatty,rum,no taste,3
Venezuela,72.0,1,3.25,3,1,0,0,0,1,oily,coffee,no taste,no taste,2
Venezuela,70.0,0,3.0,3,1,0,0,0,1,fruity,bland,no taste,no taste,2
Trinidad,72.0,0,3.0,3,1,0,0,0,1,dry,spicy,woody,no taste,3
Ecuador,72.0,0,2.5,3,1,0,0,0,1,harsh aroma,melon floral,off,no taste,3
Blend,72.0,1,3.75,3,1,0,0,0,1,creamy,nutty,cocoa,no taste,3
Madagascar,70.0,1,3.5,3,1,0,0,0,1,sandy,sweet,tart red berry,no taste,3
Ecuador,65.0,1,3.25,4,1,0,1,0,1,oily,fragrant,spciy,no taste,3
Ghana,75.0,1,3.75,3,1,0,0,0,1,oily,rich cocoa,nutty,no taste,3
Papua new guinea,75.0,1,3.5,3,1,0,0,0,1,sandy,sweet,nutty,no taste,3
Tanzania,75.0,1,3.25,3,1,0,0,0,1,spice,roasty,off fatty note,no taste,3
Brazil,65.0,1,3.25,3,1,0,0,0,1,sandy,sweet,smokey,no taste,3
Fiji,67.0,1,3.25,3,1,0,0,0,1,acidic,sweet,cucumber,no taste,3
Vanuatu,64.0,1,3.25,3,1,0,0,0,1,sandy,sweet,spicy,roasty,4
Papua new guinea,70.0,0,2.5,3,1,0,0,0,1,true to sugar,molasses,no taste,no taste,2
Ecuador,73.0,1,3.75,3,1,0,0,0,1,creamy,complex,fruity,no taste,3
Honduras,70.0,1,3.5,2,0,0,0,0,1,banana,spicy,grassy,no taste,3
Dominican republic,70.0,1,3.25,2,0,0,0,0,1,deep cherry,earthy,rubbery,no taste,3
Colombia,70.0,1,3.25,2,0,0,0,0,1,nutty,citrus,no taste,no taste,2
Australia,70.0,1,3.25,5,1,1,1,0,1,vanilla,banana,citrus,no taste,3
Australia,70.0,0,2.75,3,1,0,0,0,1,sandy,candy like vanilla,off,no taste,3
Dominican republic,72.0,0,2.75,2,0,0,0,0,1,hammy,sour,astringent,no taste,3
Ecuador,70.0,1,3.5,3,1,0,0,0,1,floral,banana,no taste,no taste,2
Trinidad,70.0,0,3.0,3,1,0,0,0,1,floral,sour,synthetic,off,4
Nicaragua,70.0,0,2.75,3,1,0,0,0,1,oily,grapes,pungent,no taste,3
Grenada,70.0,0,2.25,3,1,0,0,0,1,off,pungent,intense,no taste,3
Blend,65.0,0,2.5,4,1,0,1,0,1,sweet,vinegar,no taste,no taste,2
Dominican republic,70.0,1,3.75,2,0,0,0,0,1,spicy,fudgey,no taste,no taste,2
Colombia,70.0,1,3.25,2,0,0,0,0,1,grassy,green,candy spice,no taste,3
Costa rica,70.0,0,3.0,2,0,0,0,0,1,dried fruit,tannic,no taste,no taste,2
Venezuela,70.0,1,3.5,2,0,0,0,0,1,roasty,oreo shell,coffee,no taste,3
Papua new guinea,70.0,1,3.5,2,0,0,0,0,1,mild smoke,raspberry,cocoa,no taste,3
Venezuela,70.0,1,3.25,2,0,0,0,0,1,licorice,sour,rich cocoa,no taste,3
Venezuela,70.0,0,2.75,2,0,0,0,0,1,acidic,sour,cocoa,no taste,3
Dominican republic,70.0,1,3.75,2,0,0,0,0,1,cherry,rich choco,no taste,no taste,2
Belize,70.0,1,3.5,2,0,0,0,0,1,heavy roast,blackberry,no taste,no taste,2
Ecuador,70.0,1,3.5,2,0,0,0,0,1,gummy,nutty,bourbon,no taste,3
Liberia,70.0,0,2.75,2,0,0,0,0,1,roasty,spicy,nutty,no taste,3
Belize,70.0,0,3.0,2,0,0,0,0,1,intense,roasty,coffee,raisin,4
Dominican republic,70.0,1,3.75,2,0,0,0,0,1,cherry,rich choco,no taste,no taste,2
Costa rica,70.0,0,3.0,2,0,0,0,0,1,cocoa,sour,toffee,earthy,4
India,70.0,1,3.5,2,0,0,0,0,1,ripe orange,citrus,no taste,no taste,2
Honduras,70.0,1,3.25,2,0,0,0,0,1,nutty,moderate acidity,no taste,no taste,2
Sierra leone,70.0,0,3.0,2,0,0,0,0,1,vegetal,high astringency,no taste,no taste,2
Vietnam,70.0,1,3.5,2,0,0,0,0,1,green apple,sticky,no taste,no taste,2
Dominican republic,70.0,1,3.25,2,0,0,0,0,1,grassy,fruity,brownie,no taste,3
Madagascar,70.0,1,3.25,2,0,0,0,0,1,brownie,red berry,no taste,no taste,2
Tanzania,70.0,1,3.25,2,0,0,0,0,1,cocoa flavor dominates,no taste,no taste,no taste,1
Guatemala,75.0,0,3.0,4,1,1,0,0,1,dark woody,plum,astringent,no taste,3
Guatemala,70.0,1,4.0,2,0,0,0,0,1,sweet spice,floral,no taste,no taste,2
Guatemala,70.0,1,3.75,2,0,0,0,0,1,spicy,no taste,no taste,no taste,1
Madagascar,70.0,1,3.75,2,0,0,0,0,1,oily,toffee,hints of fruit,no taste,3
Guatemala,70.0,1,3.25,2,0,0,0,0,1,nutty,ashey,spicy pepper,no taste,3
Venezuela,75.0,0,3.0,4,1,1,0,0,1,gummy,fatty,caramel,no taste,3
Blend,70.0,1,3.25,2,0,0,0,0,1,floral,licorice,roasty,no taste,3
Vietnam,72.0,0,3.0,2,0,0,0,0,1,raisins,astringent,no taste,no taste,2
Venezuela,72.0,0,2.75,2,0,0,0,0,1,nut,tobacco,burnt,off notes,4
Vietnam,70.0,1,3.25,4,1,0,1,0,1,muted,creamy,basic cocoa,no taste,3
Peru,72.0,0,3.0,4,1,0,1,0,1,muted,creamy,grapes,fatty,4
Venezuela,70.0,1,3.25,3,1,0,0,0,1,roasty,nutty,sweet,no taste,3
Ecuador,70.0,1,3.25,3,1,0,0,0,1,bold,floral,rum,no taste,3
Madagascar,70.0,0,3.0,3,1,0,0,0,1,sweet,strong sour,acidic,no taste,3
Tanzania,70.0,0,3.0,3,1,0,0,0,1,intense,sweet,brownie,no taste,3
Bolivia,75.0,1,3.25,3,1,0,0,0,1,mild cherry,fatty,no taste,no taste,2
Dominican republic,70.0,0,2.75,4,1,0,1,0,1,chalky,vanilla,caramel,no taste,3
Venezuela,70.0,0,2.75,4,1,0,1,0,1,fatty,powdery,nut,sl. Burnt,4
Ghana,70.0,0,2.5,4,1,0,1,0,1,vanilla,fatty,basic cocoa,no taste,3
Brazil,72.0,1,3.5,3,1,0,0,0,1,texture issues,brownie,no taste,no taste,2
Brazil,65.0,1,3.5,3,1,0,0,0,1,one dimensional,brownie,no taste,no taste,2
Madagascar,70.0,0,3.0,3,1,0,0,0,1,high roast,fruit,no taste,no taste,2
Uganda,70.0,0,2.5,3,1,0,0,0,1,high roast,intense,fatty,no taste,3
Costa rica,64.0,0,3.0,4,1,1,0,0,1,dark coffee,cocoa,no taste,no taste,2
Ecuador,71.0,0,3.0,4,1,1,0,0,1,cinamon,nutmeg,coffee,no taste,3
Papua new guinea,64.0,0,3.0,4,1,1,0,0,1,waxy,tobacco,smokey,no taste,3
Peru,64.0,0,3.0,4,1,1,0,0,1,mild mint,basic cocoa,no taste,no taste,2
Madagascar,66.0,0,2.5,4,1,1,0,0,1,sandy,cloying,rich cocoa,no taste,3
Venezuela,66.0,1,3.75,4,1,1,0,0,1,fatty,rich cocoa,roasty,no taste,3
Papua new guinea,64.0,0,3.0,4,1,1,0,0,1,smokey,chalky,berry,caramel,4
Dominican republic,80.0,0,3.0,2,0,0,0,0,1,mild bitter,fatty,grassy,no taste,3
Dominican republic,70.0,0,2.6,2,0,0,0,0,1,dirty,floral,unrefined,no taste,3
Dominican republic,70.0,0,2.5,2,0,0,0,0,1,metallic,dirt/ earthy,no taste,no taste,2
Tanzania,72.0,0,2.5,2,0,0,0,0,1,vanilla,chemical,rubber,no taste,3
Guatemala,72.0,0,3.0,2,0,0,0,0,1,smokey,roasty,acidic,rich,4
Costa rica,77.0,1,3.5,2,0,0,0,0,1,red berry,lingering coffee,no taste,no taste,2
Dominican republic,77.0,1,3.5,2,0,0,0,0,1,sticky,woodsy,rum,no taste,3
Bolivia,80.0,0,2.75,2,0,0,0,0,1,intense fruit,bitter ending,no taste,no taste,2
Ecuador,70.0,1,3.25,2,0,0,0,0,1,grassy,tea,late sour,no taste,3
Dominican republic,74.0,0,3.0,2,0,0,0,0,1,earthy,tart,sour,no taste,3
Madagascar,80.0,0,2.75,2,0,0,0,0,1,sandy,flat,hint of berry,no taste,3
Venezuela,75.0,0,2.75,2,0,0,0,0,1,sticky,very roasty,nutty,no taste,3
Bolivia,75.0,0,2.75,2,0,0,0,0,1,dry,mint,medicinal,no taste,3
Ecuador,76.0,1,3.5,2,0,0,0,0,1,butter,floral,rum,no taste,3
Ecuador,70.0,1,3.25,2,0,0,0,0,1,oily,black pepper,roasty,no taste,3
Dominican republic,74.0,1,3.5,2,0,0,0,0,1,mild fruit and spice,roasty,no taste,no taste,2
Bolivia,70.0,1,3.75,2,0,0,0,0,1,sticky,rich,cherry,no taste,3
Vietnam,78.0,1,3.5,2,0,0,0,0,1,tropical berry,intense,no taste,no taste,2
Solomon islands,72.0,1,4.0,2,0,0,0,0,1,well defined,creamy,cherry,no taste,3
Guatemala,70.0,1,3.75,2,0,0,0,0,1,blackberry,raisns,no taste,no taste,2
Brazil,75.0,1,3.75,2,0,0,0,0,1,sticky,roasty nibs,grapes,no taste,3
Fiji,80.0,1,3.75,2,0,0,0,0,1,cocoa,tea,malt,no taste,3
Belize,72.0,1,4.0,2,0,0,0,0,1,creamy,sticky,dried fruit,no taste,3
Madagascar,72.0,1,3.75,2,0,0,0,0,1,sticky,dried fruit,toast,cocoa,4
Blend,73.0,1,3.5,2,0,0,0,0,1,burnt honey,earthy,no taste,no taste,2
Sao tome,65.0,0,3.0,4,1,0,1,0,1,complex,sweet,sour,grassy,4
Sao tome,75.0,0,3.0,4,1,0,1,0,1,bland,fatty,fruit,no taste,3
Sao tome,70.0,0,2.75,4,1,0,1,0,1,cocoa,raw,dirty,chemical,4
Sao tome,75.0,0,2.5,4,1,0,1,0,1,late cocoa,harsh,off notes,no taste,3
Nicaragua,72.0,1,3.5,3,1,0,0,0,1,nutty,caramel,toffee,no taste,3
Panama,72.0,1,3.25,3,1,0,0,0,1,mild cherry,earthy,no taste,no taste,2
Venezuela,72.0,1,3.25,3,1,0,0,0,1,fatty,rasin,nutty,no taste,3
Blend,70.0,0,1.5,3,0,0,1,0,1,acidic,astringent,unpleasant,no taste,3
Venezuela,70.0,1,3.5,2,0,0,0,0,1,creamy,basic cocoa,no taste,no taste,2
Peru,70.0,1,3.25,2,0,0,0,0,1,floral,olive,no taste,no taste,2
