,country_of_bean_origin,cocoa_percent,rating,rating_category,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,number_of_taste
274,Venezuela,75.0,4.0,2,3,1,0,0,0,1,0,creamy,fatty,floral,no taste,3
275,Venezuela,75.0,4.0,2,3,1,0,0,0,1,0,creamy,coconut,tang,no taste,3
276,Blend,75.0,3.75,2,3,1,0,0,0,1,0,spice,woodsy,long lasting,no taste,3
277,Venezuela,75.0,3.75,2,3,1,0,0,0,1,0,sandy,creamy,berry,no taste,3
278,Madagascar,75.0,3.75,2,3,1,0,0,0,1,0,mellow,tart,coffee,no taste,3
279,Sri lanka,75.0,3.0,1,3,1,0,0,0,1,0,vegetal,dominant tobacco,no taste,no taste,2
280,Ecuador,75.0,2.5,0,3,1,0,0,0,1,0,dry,floral,bitter,no taste,3
281,Venezuela,75.0,4.0,2,3,1,0,0,0,1,0,creamy,strawberry,nutty,no taste,3
282,Ivory coast,75.0,3.0,1,3,1,0,0,0,1,0,oily,intense cocoa,sl. Burnt,no taste,3
283,Mexico,75.0,3.0,1,3,1,0,0,0,1,0,mild bitter,nut,possible mold,no taste,3
284,Mexico,75.0,3.0,1,3,1,0,0,0,1,0,fatty,roasty,earthy,no taste,3
285,Peru,75.0,2.75,0,3,1,0,0,0,1,0,flat,bread,earthy,no taste,3
286,Haiti,75.0,4.0,2,3,1,0,0,0,1,0,grassy,black pepper,no taste,no taste,2
287,Madagascar,75.0,4.0,2,3,1,0,0,0,1,0,fatty,spicy,gentle roast,no taste,3
288,Brazil,75.0,3.75,2,3,1,0,0,0,1,0,chunky,very grassy,mild mint,no taste,3
289,Cuba,75.0,3.5,2,3,1,0,0,0,1,0,fatty,raisin,grape,no taste,3
290,Peru,75.0,3.5,2,3,1,0,0,0,1,0,roasty,woody,mint,no taste,3
291,Peru,75.0,3.5,2,3,1,0,0,0,1,0,creamy,cocoa,smokey,no taste,3
292,Brazil,75.0,3.5,2,3,1,0,0,0,1,0,oily,fatty,rich,nutty,4
293,Jamaica,75.0,3.25,1,3,1,0,0,0,1,0,oily,creamy,woody,no taste,3
294,Brazil,75.0,3.5,2,3,1,0,0,0,1,0,oily,roasted nuts,rich cocoa,no taste,3
295,Gabon,75.0,3.25,1,3,1,0,0,0,1,0,fatty,roasty,black pepper,no taste,3
296,Brazil,75.0,4.0,2,3,1,0,0,0,1,0,creamy,homey,nutty,no taste,3
297,Blend,65.0,3.75,2,3,1,0,0,0,1,0,complex,brownie,mint,spice,4
298,Dominican republic,75.0,3.25,1,3,1,0,0,0,1,0,roasty,tobacco,earthy,no taste,3
299,Mexico,75.0,3.5,2,3,1,0,0,0,1,0,heavy roast,fatty,gateway,no taste,3
300,Peru,75.0,4.0,2,3,1,0,0,0,1,0,oily,subtle,mild coffee,no taste,3
301,Blend,75.0,4.0,2,3,1,0,0,0,1,0,creamy,rich,complex,no taste,3
302,Ecuador,77.0,3.25,1,2,0,0,0,0,1,0,sticky,lavendar,molasses,no taste,3
303,Dominican republic,72.0,3.25,1,3,1,0,0,0,1,0,spicy,banana,no taste,no taste,2
304,Peru,70.0,3.75,2,3,1,0,0,0,1,0,sweet,rich mocha,acidic,no taste,3
305,Ecuador,75.0,3.5,2,3,1,0,0,0,1,0,balanced,floral,honey,no taste,3
306,Ghana,75.0,3.5,2,5,1,1,1,0,1,0,fatty,brownie,nutty,no taste,3
307,Venezuela,85.0,3.5,2,5,1,1,1,0,1,0,intense,cooked banana,no taste,no taste,2
308,Ecuador,70.0,3.25,1,5,1,1,1,0,1,0,intense,alocohol,floral,no taste,3
309,Dominican republic,72.0,3.0,1,5,1,1,1,0,1,0,oily,vanilla,caramel,dairy,4
310,Venezuela,70.0,4.0,2,3,1,0,0,0,1,0,intense,raisins,roasty,no taste,3
311,Belize,70.0,3.75,2,3,1,0,0,0,1,0,intense,cocoa,complex,no taste,3
312,Dominican republic,68.0,3.75,2,3,1,0,0,0,1,0,complex,brownie,lime,rich,4
313,Nicaragua,70.0,3.75,2,3,1,0,0,0,1,0,simple,rich cocoa,no taste,no taste,2
314,Venezuela,70.0,3.5,2,3,1,0,0,0,1,0,nutty,slight hammy,rich,no taste,3
315,Ecuador,75.0,3.75,2,3,1,0,0,0,1,0,sandy,floral,honey,no taste,3
316,Dominican republic,70.0,3.25,1,3,1,0,0,0,1,0,earthy,cherries,no taste,no taste,2
317,Bolivia,70.0,4.0,2,3,1,0,0,0,1,0,nuts,fruit,no taste,no taste,2
318,Guatemala,70.0,3.5,2,2,0,0,0,0,1,0,tart,tea,leather,sour,4
319,Dominican republic,80.0,3.25,1,3,1,0,0,0,1,0,bitter,dark berry,fatty,no taste,3
320,Belize,80.0,3.25,1,3,1,0,0,0,1,0,mild smoke,raisins,coffee,no taste,3
321,Madagascar,60.0,3.25,1,3,1,0,0,0,1,0,citrus,sweet,cocoa,no taste,3
322,Dominican republic,60.0,3.0,1,3,1,0,0,0,1,0,roasty,sweet,brownie,no taste,3
323,Madagascar,80.0,2.75,0,3,1,0,0,0,1,0,bitter,tart,acidic,no taste,3
324,Jamaica,70.0,3.0,1,4,1,1,0,0,1,0,chalky,sandy,tart,bland,4
325,Dominican republic,70.0,3.5,2,3,1,0,0,0,1,0,spicy,black pepper,banana,no taste,3
326,Ecuador,72.0,3.5,2,3,1,0,0,0,1,0,floral,banana,no taste,no taste,2
327,Madagascar,72.0,3.0,1,3,1,0,0,0,1,0,sweet,mild molasses,bland,no taste,3
328,Trinidad,68.0,2.75,0,3,1,0,0,0,1,0,fatty,sweet,metallic,no taste,3
329,Ecuador,70.0,3.25,1,2,0,0,0,0,1,0,powdery,floral,molasses,no taste,3
330,Dominican republic,68.0,2.75,0,3,1,0,0,0,1,0,gritty,sweet,brownie,no taste,3
331,Guatemala,70.0,3.0,1,3,1,0,0,0,1,0,roasty and under refined,no taste,no taste,no taste,1
332,Bolivia,70.0,2.5,0,3,1,0,0,0,1,0,dirt,earthy,floral,no taste,3
333,Ecuador,72.0,3.5,2,3,1,0,0,0,1,0,floral,mild citrus,orange,no taste,3
334,Trinidad,72.0,3.25,1,3,1,0,0,0,1,0,high roast,coffee,spicy,no taste,3
335,Belize,72.0,3.25,1,3,1,0,0,0,1,0,roasty,fruit,mild metallic,no taste,3
336,Blend,72.0,3.25,1,3,1,0,0,0,1,0,coffee,high roast,spicy,no taste,3
337,Ecuador,60.0,2.5,0,3,1,0,0,0,1,0,sweet,sour dairy,no taste,no taste,2
338,Ecuador,70.0,3.0,1,2,0,0,0,0,1,0,smokey,sour,no taste,no taste,2
339,Philippines,70.0,3.5,2,2,0,0,0,0,0,1,base cocoa w/ palm notes,no taste,no taste,no taste,1
340,Taiwan,70.0,3.25,1,2,0,0,0,0,0,1,molasses,sour notes,no taste,no taste,2
341,Bolivia,70.0,3.75,2,4,1,0,1,0,1,0,subtle but refreshing,no taste,no taste,no taste,1
342,Guatemala,70.0,3.5,2,4,1,0,1,0,1,0,vegetal,unique,no taste,no taste,2
343,Guatemala,70.0,3.0,1,4,1,0,1,0,1,0,off pungent,grassy,melon,no taste,3
344,Puerto rico,70.0,2.5,0,2,0,0,0,0,1,0,dirt,floral,sweet,no taste,3
345,Dominican republic,75.0,2.75,0,2,0,0,0,0,1,0,creamy,burnt wood,no taste,no taste,2
346,Dominican republic,75.0,2.5,0,2,0,0,0,0,1,0,oily,buttery,intense,no taste,3
347,Venezuela,75.0,2.25,0,2,0,0,0,0,1,0,over roasted,bitter,nutty,no taste,3
348,Peru,75.0,2.5,0,2,0,0,0,0,1,0,roasty,almost burnt,intense,no taste,3
349,Mexico,66.0,3.0,1,5,1,1,1,0,1,0,creamy,woody,cocoa,no taste,3
350,Venezuela,72.0,2.0,0,5,1,1,1,0,1,0,sandy,dairy,cocoa,no taste,3
351,Tanzania,75.0,2.0,0,5,1,1,1,0,1,0,dry,flat flavor,astringent,no taste,3
352,Dominican republic,70.0,3.0,1,5,1,1,1,0,1,0,spice,fruit medley,roasty,no taste,3
353,Haiti,65.0,3.5,2,5,1,1,1,0,1,0,gritty,sweet,citrus,no taste,3
354,Colombia,72.0,3.75,2,2,0,0,0,0,1,0,light color,creamy,hazelnut,no taste,3
355,Colombia,72.0,3.0,1,2,0,0,0,0,1,0,light color,dirty,astringent,no taste,3
356,Colombia,72.0,2.5,0,2,0,0,0,0,1,0,light color,dirty,musty,no taste,3
357,Venezuela,70.0,3.75,2,2,0,0,0,0,1,0,fruity,nutty,brownie,no taste,3
358,Venezuela,75.0,3.5,2,2,0,0,0,0,1,0,bright fruit,strawberry,no taste,no taste,2
359,Venezuela,74.0,3.25,1,2,0,0,0,0,1,0,nutty,intense,leathery,no taste,3
360,Venezuela,75.0,2.5,0,2,0,0,0,0,1,0,intense,earthy,fuel,no taste,3
361,Venezuela,77.0,3.5,2,2,0,0,0,0,1,0,assertive,fruity,acidic,no taste,3
362,Venezuela,74.0,3.25,1,2,0,0,0,0,1,0,intense,black licorice,nutty,no taste,3
363,Venezuela,75.0,3.25,1,2,0,0,0,0,1,0,spicy,nutty,ends sour,no taste,3
364,Venezuela,75.0,2.75,0,2,0,0,0,0,1,0,sandy,chalky,earthy,no taste,3
365,Venezuela,70.0,3.0,1,2,0,0,0,0,1,0,raspberry,dirty,sour,no taste,3
366,Venezuela,75.0,2.5,0,2,0,0,0,0,1,0,high astringent,sandy,grass,no taste,3
367,Colombia,64.0,3.5,2,4,1,0,1,0,1,0,intense,marshmallow,fruit,no taste,3
368,Colombia,70.0,3.5,2,4,1,0,1,0,1,0,earthy,woody,smoke,no taste,3
369,Colombia,70.0,3.25,1,4,1,0,1,0,1,0,intense,spice,no taste,no taste,2
370,Colombia,69.0,2.75,0,4,1,0,1,0,1,0,green,vegetal,soil,fuel,4
371,Colombia,72.0,3.75,2,3,1,0,0,0,1,0,rich,nutty,acidic,no taste,3
372,Colombia,71.0,3.75,2,3,1,0,0,0,1,0,distinct,short,dried fruit,no taste,3
373,Colombia,74.0,3.75,2,3,1,0,0,0,1,0,mild cocoa,astringent,no taste,no taste,2
374,Honduras,70.0,3.5,2,4,1,0,1,0,1,0,deep cocoa,fatty,dairy,no taste,3
375,Dominican republic,66.0,3.75,2,2,0,0,0,0,1,0,creamy,blueberry,black pepper,no taste,3
376,Dominican republic,65.0,3.25,1,2,0,0,0,0,1,0,rustic,gritty,sweet,fruit,4
377,Dominican republic,72.0,3.0,1,2,0,0,0,0,1,0,rustic,sweet,one dimensional,no taste,3
378,Dominican republic,72.0,3.75,2,2,0,0,0,0,1,0,oily,cherry,rich cocoa,no taste,3
379,Mexico,70.0,4.0,2,4,1,0,1,0,1,0,distinct lemon,no taste,no taste,no taste,1
380,Mexico,70.0,4.0,2,4,1,0,1,0,1,0,creamy,nutty,banana,rich,4
381,Papua new guinea,71.0,4.0,2,4,1,0,1,0,1,0,creamy,mild spice,cocoa,no taste,3
382,Ecuador,71.0,3.75,2,4,1,0,1,0,1,0,creamy,mild spice,hazelnut,no taste,3
383,Madagascar,71.0,3.5,2,4,1,0,1,0,1,0,creamy,earthy,dark roast,no taste,3
384,Venezuela,71.0,3.5,2,4,1,0,1,0,1,0,gritty,fudge-like,nutty,no taste,3
385,Venezuela,77.0,3.5,2,4,1,0,1,0,1,0,intense,roasty,rich cocoa,no taste,3
386,Grenada,71.0,3.25,1,4,1,0,1,0,1,0,silky,Andes mint,off nutty,no taste,3
387,Congo,70.0,3.5,2,4,1,0,1,0,1,0,rich,cherries,acidic,no taste,3
388,Vietnam,70.0,3.5,2,2,0,0,0,0,1,0,balanced,dairy,spicy,no taste,3
389,Peru,70.0,3.25,1,2,0,0,0,0,1,0,dried fruit,sour,nutella,no taste,3
390,Madagascar,70.0,3.0,1,2,0,0,0,0,1,0,sour milk,off,late tart,no taste,3
391,Peru,70.0,3.0,1,2,0,0,0,0,1,0,ripe grapes,very acidic,no taste,no taste,2
392,Peru,70.0,3.25,1,2,0,0,0,0,1,0,gritty,molasses,no taste,no taste,2
393,Ecuador,63.0,3.5,2,4,1,0,1,0,1,0,sandy,sweet,bold citrus,no taste,3
394,Ecuador,71.0,3.5,2,4,1,0,1,0,1,0,dry,spicy,fruity,no taste,3
395,Ecuador,82.0,2.5,0,4,1,0,1,0,1,0,cloying,fatty,bitter,no taste,3
396,Ecuador,91.0,1.5,0,4,1,0,1,0,1,0,klingy,hint of fruit,very bitter,no taste,3
397,Trinidad,70.0,2.5,0,2,0,0,0,0,1,0,burnt coffee,fatty,no taste,no taste,2
398,Sao tome,78.0,2.25,0,2,0,0,0,0,1,0,burnt up front,no taste,no taste,no taste,1
399,Venezuela,80.0,3.0,1,2,0,0,0,0,1,0,nutty,ashey,coffee,no taste,3
400,Ecuador,100.0,3.5,2,1,0,0,0,0,0,0,fatty,controlled bitter,fruit,no taste,3
401,Blend,70.0,3.5,2,2,0,0,0,0,1,0,oily surface,berry,cream,no taste,3
402,Dominican republic,72.0,3.0,1,2,0,0,0,0,1,0,intense,fatty,brownie,no taste,3
403,Cuba,75.0,2.5,0,2,0,0,0,0,1,0,intense,ashey,earthen,no taste,3
404,Brazil,70.0,3.25,1,3,1,0,0,0,1,0,dairy,chocolate,mild fruit,no taste,3
405,Venezuela,70.0,3.0,1,3,1,0,0,0,1,0,strong nutty with off notes,no taste,no taste,no taste,1
406,Bolivia,75.0,3.0,1,3,1,0,0,0,1,0,sandy,bold,cherry,no taste,3
407,Tanzania,73.0,2.75,0,3,1,0,0,0,1,0,sweet,acidic,fatty,no taste,3
408,Venezuela,75.0,2.5,0,3,1,0,0,0,1,0,nutty,burnt,fuel,no taste,3
409,Ecuador,55.0,3.5,2,4,1,0,1,0,1,0,sandy,sweet,spicy,no taste,3
410,Ecuador,55.0,3.25,1,4,1,0,1,0,1,0,sticky,sweet,grassy,no taste,3
411,Ecuador,55.0,3.0,1,4,1,0,1,0,1,0,sweet,floral,yogurt,no taste,3
412,Ecuador,77.0,2.75,0,4,1,0,1,0,1,0,crumbly,cinamon,no taste,no taste,2
413,Ecuador,77.0,2.5,0,4,1,0,1,0,1,0,perfume,chemical off note,no taste,no taste,2
414,Ecuador,77.0,2.0,0,4,1,0,1,0,1,0,grainy,intense,bitter,no taste,3
415,Papua new guinea,70.0,3.75,2,3,1,0,0,0,1,0,tart,malt,mild smoke,no taste,3
416,Papua new guinea,70.0,3.5,2,3,1,0,0,0,1,0,mild smoke,melon,no taste,no taste,2
417,Costa rica,72.0,3.0,1,2,0,0,0,0,1,0,fatty,woody,coffee,no taste,3
418,Costa rica,80.0,2.75,0,2,0,0,0,0,1,0,fatty,fruit,muted,no taste,3
419,Guatemala,72.0,3.5,2,3,1,0,0,0,1,0,woody,spicy,tobacco,no taste,3
420,Costa rica,72.0,3.5,2,2,0,0,0,0,1,0,acidic,astringent,spicy,no taste,3
421,Costa rica,72.0,3.25,1,2,0,0,0,0,1,0,floral,earthy,acidic,no taste,3
422,Colombia,65.0,3.5,2,3,1,0,0,0,1,0,overly sweet,mild spice,no taste,no taste,2
423,Colombia,65.0,3.5,2,3,1,0,0,0,1,0,sweet,grassy,nutty,no taste,3
424,Colombia,65.0,3.25,1,3,1,0,0,0,1,0,nutty,grain,late choco,no taste,3
425,Colombia,65.0,3.25,1,3,1,0,0,0,1,0,mild smoke,sweet edge,no taste,no taste,2
426,Colombia,65.0,3.0,1,3,1,0,0,0,1,0,sweet,marshmallow,no taste,no taste,2
427,Blend,75.0,2.0,0,2,0,0,0,0,1,0,off notes,vanilla,no taste,no taste,2
428,Brazil,65.0,3.25,1,2,0,0,0,0,1,0,molasses,rich,vegetal,no taste,3
429,Brazil,71.0,3.0,1,2,0,0,0,0,1,0,sandy,intense,sweet,rich,4
430,Dominican republic,73.0,3.5,2,2,0,0,0,0,1,0,sandy,mild intensity,fruit,no taste,3
431,Venezuela,70.0,3.25,1,3,1,0,0,0,1,0,sandy,nutty,cocoa,no taste,3
432,Nicaragua,72.0,3.25,1,3,1,0,0,0,1,0,sandy,molasses,spice,no taste,3
433,Bolivia,70.0,3.0,1,3,1,0,0,0,1,0,sandy,tobacco,molasses,no taste,3
434,Venezuela,72.0,3.0,1,3,1,0,0,0,1,0,mild metallic and spice,no taste,no taste,no taste,1
435,Peru,70.0,2.75,0,3,1,0,0,0,1,0,molasses,cocoa,no taste,no taste,2
436,Peru,70.0,2.5,0,3,1,0,0,0,1,0,sandy,fruity,acidic,metallic,4
437,Colombia,72.0,3.5,2,3,1,0,0,0,1,0,caramel,molasses,fruit,no taste,3
438,Colombia,76.0,3.5,2,3,1,0,0,0,1,0,caramel,sweet,delicate,no taste,3
439,Dominican republic,70.0,2.75,0,3,1,0,0,0,1,0,soapy,earthy,no taste,no taste,2
440,Dominican republic,70.0,3.75,2,3,1,0,0,0,1,0,med roast,grassy,dried fruit,no taste,3
441,Honduras,72.0,3.5,2,3,1,0,0,0,1,0,roasty,black pepper,nutty,no taste,3
442,Venezuela,72.0,3.5,2,3,1,0,0,0,1,0,nutty,floral,roasty,no taste,3
443,Belize,72.0,4.0,2,3,1,0,0,0,1,0,bright fruit,molasses,nutty,no taste,3
444,Venezuela,70.0,3.25,1,2,0,0,0,0,1,0,nutty,roasty,caramel,no taste,3
445,Mexico,70.0,3.75,2,3,1,0,0,0,1,0,smooth,caramel,dried fruit,no taste,3
446,Puerto rico,70.0,3.5,2,3,1,0,0,0,1,0,smooth,mellow,floral,no taste,3
447,Bolivia,70.0,3.0,1,3,1,0,0,0,1,0,creamy,woody,slight cherry,no taste,3
448,Peru,70.0,2.75,0,3,1,0,0,0,1,0,mild fruit,off notes,no taste,no taste,2
449,Venezuela,70.0,2.75,0,3,1,0,0,0,1,0,nutty,roasty,smokey,no taste,3
450,Ecuador,70.0,2.5,0,3,1,0,0,0,1,0,burnt rubber,leather,no taste,no taste,2
451,Uganda,70.0,2.75,0,3,1,0,0,0,1,0,sandy,roasty,coffee,no taste,3
452,Bolivia,74.0,3.0,1,2,0,0,0,0,1,0,dark roast,rich cocoa,no taste,no taste,2
453,Venezuela,68.0,3.5,2,3,1,0,0,0,1,0,butter,roasty,cocoa,nutty,4
454,Belize,70.0,3.25,1,3,1,0,0,0,1,0,slightly metallic,woody,berry,no taste,3
455,Ecuador,75.0,3.0,1,3,1,0,0,0,1,0,dry,sandy,cocoa,no taste,3
456,Ecuador,55.0,2.75,0,3,1,0,0,0,1,0,very sweet,very spicey,no taste,no taste,2
457,Costa rica,70.0,3.5,2,3,1,0,0,0,1,0,green,leafy,no taste,no taste,2
458,Peru,72.0,3.0,1,3,1,0,0,0,1,0,spicy,chocolatey,atypical,no taste,3
459,Ecuador,72.0,3.5,2,3,1,0,0,0,1,0,sl. chalky,floral,pure,no taste,3
460,Ecuador,70.0,3.25,1,3,1,0,0,0,1,0,floral,earthy,no taste,no taste,2
461,Belize,82.0,3.25,1,2,0,0,0,0,1,0,powdery,bland,mild choco,no taste,3
462,Belize,75.0,3.0,1,2,0,0,0,0,1,0,bland,mild choco & leather,no taste,no taste,2
463,Malaysia,70.0,3.5,2,2,0,0,0,0,1,0,high roast,banana raspberry,no taste,no taste,2
464,Vietnam,70.0,2.75,0,2,0,0,0,0,1,0,roasty,sour milk,off note,no taste,3
465,Dominican republic,71.0,3.25,1,3,1,0,0,0,1,0,chunky,spicy,rubbery,no taste,3
466,Nicaragua,72.0,2.5,0,3,1,0,0,0,1,0,grassy,rubbery,no taste,no taste,2
467,Peru,65.0,2.75,0,2,0,0,0,0,1,0,flat,floral,medicinal,no taste,3
468,Peru,65.0,2.5,0,2,0,0,0,0,1,0,flat,metallic,floral,no taste,3
469,Dominican republic,80.0,2.5,0,2,0,0,0,0,1,0,spicy,earthy off notes,no taste,no taste,2
470,Madagascar,74.0,3.0,1,2,0,0,0,0,1,0,sugar dominates,molasses,no taste,no taste,2
471,Madagascar,70.0,3.75,2,2,0,0,0,0,1,0,mild,fruity then nutty,no taste,no taste,2
472,Venezuela,68.0,3.75,2,2,0,0,0,0,1,0,mild,earthy,grassy,no taste,3
473,Peru,90.0,2.5,0,2,0,0,0,0,0,1,sticky,bitter,molasses,tart,4
474,Blend,80.0,2.5,0,2,0,0,0,0,0,1,sticky,coconut,sour,bitter,4
475,Ecuador,70.0,3.25,1,2,0,0,0,0,1,0,molasses,tart,floral,no taste,3
476,Dominican republic,60.0,3.0,1,2,0,0,0,0,1,0,gritty,sweet,molasses,no taste,3
477,Dominican republic,75.0,3.0,1,2,0,0,0,0,1,0,sandy,rich,roasty,earthy,4
478,Venezuela,80.0,3.0,1,2,0,0,0,0,1,0,gritty,nutty,caramel,no taste,3
479,Uganda,70.0,2.75,0,2,0,0,0,0,1,0,roasty,cocoa,molasses,no taste,3
480,Nicaragua,80.0,2.75,0,2,0,0,0,0,1,0,nutty,roasty,bitter,no taste,3
481,Bolivia,70.0,2.5,0,2,0,0,0,0,1,0,gritty,molasses,earthy,no taste,3
482,Peru,74.0,2.75,0,3,1,0,0,0,0,1,unrefined,odd,vegetal,no taste,3
483,Peru,80.0,3.75,2,3,1,0,0,0,1,0,nuts,coffee,peanut butter,no taste,3
484,Congo,68.0,3.5,2,3,1,0,0,0,1,0,bold,rich cocoa,coffee,no taste,3
485,Dominican republic,75.0,3.25,1,3,1,0,0,0,1,0,earthy,coffee,mild,tang,4
486,Madagascar,72.0,3.25,1,3,1,0,0,0,1,0,tart,bright fruit,sour coffee,no taste,3
487,Peru,68.0,2.75,0,3,1,0,0,0,1,0,sandy,sweet,cocoa,no taste,3
488,Ecuador,82.0,2.5,0,3,1,0,0,0,1,0,sandy,fruity,burnt,no taste,3
489,Peru,70.0,3.75,2,2,0,0,0,0,1,0,intense orange,floral notes,no taste,no taste,2
490,Peru,69.0,3.75,2,3,1,0,0,0,1,0,floral,orange,cocoa,no taste,3
491,Venezuela,80.0,3.75,2,2,0,0,0,0,1,0,mild bitter,fruit,spice,no taste,3
492,India,70.0,3.0,1,3,1,0,0,0,1,0,nutty,honey,grassy,no taste,3
493,Mexico,70.0,2.5,0,4,1,1,0,0,1,0,fatty,vanilla,mass market,no taste,3
494,Guatemala,76.0,2.75,0,2,0,0,0,0,1,0,high astringent,fruit,roasty,no taste,3
495,Peru,70.0,2.75,0,2,0,0,0,0,1,0,sandy,sweet,no taste,no taste,2
496,India,63.0,2.5,0,3,1,0,0,0,1,0,sandy,tart,ham,sweet,4
497,Blend,70.0,3.0,1,4,1,0,1,0,1,0,sweet,marshmallow,no taste,no taste,2
498,Ecuador,71.0,2.5,0,4,1,0,1,0,1,0,earthy,floral,mild bitter,no taste,3
499,Grenada,71.0,2.5,0,4,1,0,1,0,1,0,sweet,cardboard,no taste,no taste,2
500,Venezuela,71.0,3.5,2,4,1,0,1,0,1,0,long lasting,cocoa base,no taste,no taste,2
501,Blend,60.0,3.25,1,4,1,0,1,0,1,0,chewy,fudge-like,perfume,no taste,3
502,Blend,75.0,3.25,1,4,1,0,1,0,1,0,oily,grassy,minty,no taste,3
503,Madagascar,71.0,3.5,2,4,1,0,1,0,1,0,spicey,cocoa,no taste,no taste,2
504,Mexico,71.0,3.25,1,4,1,0,1,0,1,0,earthy,sweet,no taste,no taste,2
505,Mexico,65.0,2.5,0,2,0,0,0,0,1,0,coarse,sweet,sour,leathery,4
506,Mexico,75.0,2.5,0,2,0,0,0,0,1,0,gritty,mild bitter,off notes,no taste,3
507,Brazil,70.0,3.0,1,4,1,1,0,0,1,0,oily,muted,fruity,no taste,3
508,Brazil,80.0,3.0,1,4,1,1,0,0,1,0,roasty,tart,slight burnt,no taste,3
509,Venezuela,70.0,3.0,1,4,1,1,0,0,1,0,slow,fatty,subdued,nutty,4
510,Mexico,70.0,2.75,0,4,1,1,0,0,1,0,fatty,cigarette butt,coffee,no taste,3
511,Venezuela,80.0,2.5,0,4,1,1,0,0,1,0,dry,ashey,medicinal,no taste,3
512,Martinique,42.0,2.75,0,4,0,1,1,0,1,0,gritty,sweet,hot cocoa,no taste,3
513,Mexico,75.0,3.25,1,3,1,0,0,0,1,0,grainy,sweet,whole bean,no taste,3
514,Peru,70.0,2.75,0,2,0,0,0,0,1,0,sweet,sandy,spicy,no taste,3
515,Peru,75.0,3.75,2,3,1,0,0,0,1,0,bold,spice,hit of anise,no taste,3
516,Brazil,70.0,4.0,2,3,1,0,0,0,1,0,creamy,dried fruit,nutty,no taste,3
517,Dominican republic,72.0,3.75,2,3,1,0,0,0,1,0,smooth,spicy,cocoa,no taste,3
518,Ecuador,73.0,3.5,2,3,1,0,0,0,1,0,rich cocoa,floral,acidic,no taste,3
519,Tanzania,72.0,3.5,2,3,1,0,0,0,1,0,basic cocoa,mild fruit,sweet,no taste,3
520,Costa rica,70.0,3.25,1,3,1,0,0,0,1,0,cocoa,woody,basic,no taste,3
521,Vietnam,72.0,3.0,1,3,1,0,0,0,1,0,roasty,hammy,nutty,no taste,3
522,Venezuela,61.0,3.0,1,5,1,1,1,0,1,0,sweet,peanut butter,no taste,no taste,2
523,Venezuela,77.0,2.75,0,3,1,0,0,0,1,0,red berry,bitter,roasty,sour,4
524,Blend,75.0,3.75,2,3,1,0,0,0,1,0,dry,sandy,cocoa,coffee,4
525,Blend,80.0,3.0,1,3,1,0,0,0,1,0,bitter,light lime,sour,no taste,3
526,Blend,73.5,3.75,2,2,0,0,0,0,1,0,short,mild cocoa,mild fruit,no taste,3
527,Ecuador,73.0,3.5,2,2,0,0,0,0,1,0,creamy,floral,bourbon,no taste,3
528,Peru,70.0,3.5,2,3,1,0,0,0,1,0,balanced,anise,creamy,no taste,3
529,St. lucia,70.0,2.25,0,4,1,1,0,0,1,0,raw,dirty,metallic,dry,4
530,Madagascar,75.0,3.0,1,4,1,1,0,0,1,0,berry,spices,smoke,no taste,3
531,Ecuador,76.0,3.5,2,2,0,0,0,0,1,0,bold,roasty,sticky,brownie,4
532,Vietnam,78.0,2.75,0,2,0,0,0,0,1,0,woody,nutty,off sour note,no taste,3
533,Madagascar,72.0,3.0,1,3,1,0,0,0,1,0,creamy,woodsy,cocoa,no taste,3
534,Mexico,72.0,3.0,1,3,1,0,0,0,1,0,intense,tangy,berry,sour,4
535,Venezuela,72.0,3.0,1,3,1,0,0,0,1,0,lemon,sour,slight metallic,no taste,3
536,Venezuela,70.0,3.75,2,3,1,0,0,0,1,0,dark berry,winey,no taste,no taste,2
537,Venezuela,70.0,3.5,2,3,1,0,0,0,1,0,slow,less intense berry,nutty,no taste,3
538,Peru,62.0,3.25,1,3,1,0,0,0,1,0,woodsy,nutty,no taste,no taste,2
539,Peru,72.0,3.0,1,3,1,0,0,0,1,0,creamy,buttery,non descript,no taste,3
540,Grenada,72.0,3.25,1,3,1,0,0,0,1,0,coffee and cocoa,no taste,no taste,no taste,1
541,Jamaica,72.0,3.25,1,3,1,0,0,0,1,0,oily,fatty,rum,no taste,3
542,Venezuela,72.0,3.25,1,3,1,0,0,0,1,0,oily,coffee,no taste,no taste,2
543,Venezuela,70.0,3.0,1,3,1,0,0,0,1,0,fruity,bland,no taste,no taste,2
544,Trinidad,72.0,3.0,1,3,1,0,0,0,1,0,dry,spicy,woody,no taste,3
545,Ecuador,72.0,2.5,0,3,1,0,0,0,1,0,harsh aroma,melon floral,off,no taste,3
546,Blend,72.0,3.75,2,3,1,0,0,0,1,0,creamy,nutty,cocoa,no taste,3
547,Ghana,85.0,3.5,2,3,1,0,0,0,1,0,silky,minty,no taste,no taste,2
548,Madagascar,70.0,3.5,2,3,1,0,0,0,1,0,sandy,sweet,tart red berry,no taste,3
549,Ecuador,65.0,3.25,1,4,1,0,1,0,1,0,oily,fragrant,spciy,no taste,3
550,Ghana,75.0,3.75,2,3,1,0,0,0,1,0,oily,rich cocoa,nutty,no taste,3
